Channel;VariantID;PhotoType;Sensitive
MRP;5526882328029445;bk;FALSE
MRP;5526882328029445;cu;FALSE
MRP;5526882328029445;e1;FALSE
MRP;5526882328029445;fr;FALSE
MRP;5526882328029445;in;FALSE
MRP;5526882328029445;ou;FALSE
MRP;5526882328029434;bk;FALSE
MRP;5526882328029434;cu;FALSE
MRP;5526882328029434;e1;FALSE
MRP;5526882328029434;fr;FALSE
MRP;5526882328029434;in;FALSE
MRP;5526882328029434;ou;FALSE
MRP;5526882328029434;sw;FALSE
MRP;5526882328029415;bk;FALSE
MRP;5526882328029415;cu;FALSE
MRP;5526882328029415;e1;FALSE
MRP;5526882328029415;fr;FALSE
MRP;5526882328029415;in;FALSE
MRP;5526882328029415;ou;FALSE
MRP;5526882328029415;sw;FALSE
MRP;5526882328029437;bk;FALSE
MRP;5526882328029437;cu;FALSE
MRP;5526882328029437;e1;FALSE
MRP;5526882328029437;fr;FALSE
MRP;5526882328029437;in;FALSE
MRP;5526882328029437;ou;FALSE
MRP;5526882328029437;sw;FALSE
MRP;5526882328029457;bk;FALSE
MRP;5526882328029457;cu;FALSE
MRP;5526882328029457;e1;FALSE
MRP;5526882328029457;fr;FALSE
MRP;5526882328029457;in;FALSE
MRP;5526882328029457;ou;FALSE
MRP;5526882328029457;sw;FALSE
MRP;2307389542101474;bk;FALSE
MRP;2307389542101474;cu;FALSE
MRP;2307389542101474;e1;FALSE
MRP;2307389542101474;fr;FALSE
MRP;2307389542101474;in;FALSE
MRP;2307389542101474;ou;FALSE
MRP;2307389542101474;sw;FALSE
MRP;2307389542101483;bk;FALSE
MRP;2307389542101483;cu;FALSE
MRP;2307389542101483;e1;FALSE
MRP;2307389542101483;fr;FALSE
MRP;2307389542101483;in;FALSE
MRP;2307389542101483;ou;FALSE
MRP;2307389542101483;sw;FALSE
MRP;5983760398463690;bk;FALSE
MRP;5983760398463690;cu;FALSE
MRP;5983760398463690;e1;FALSE
MRP;5983760398463690;fr;FALSE
MRP;5983760398463690;in;FALSE
MRP;5983760398463690;ou;FALSE
MRP;5983760398463690;sw;FALSE
MRP;5983760398463707;bk;FALSE
MRP;5983760398463707;cu;FALSE
MRP;5983760398463707;e1;FALSE
MRP;5983760398463707;fr;FALSE
MRP;5983760398463707;in;FALSE
MRP;5983760398463707;ou;FALSE
MRP;5983760398463707;sw;FALSE
MRP;5983760398463691;bk;FALSE
MRP;5983760398463691;cu;FALSE
MRP;5983760398463691;e1;FALSE
MRP;5983760398463691;fr;FALSE
MRP;5983760398463691;in;FALSE
MRP;5983760398463691;ou;FALSE
MRP;5983760398463691;sw;FALSE
MRP;2307389542181700;bk;FALSE
MRP;2307389542181700;cu;FALSE
MRP;2307389542181700;e1;FALSE
MRP;2307389542181700;e2;FALSE
MRP;2307389542181700;e3;FALSE
MRP;2307389542181700;e4;FALSE
MRP;2307389542181700;in;FALSE
MRP;2307389542181700;ou;FALSE
MRP;2307389542181700;sw;FALSE
MRP;2307389542182497;bk;FALSE
MRP;2307389542182497;cu;FALSE
MRP;2307389542182497;e1;FALSE
MRP;2307389542182497;e2;FALSE
MRP;2307389542182497;e3;FALSE
MRP;2307389542182497;e4;FALSE
MRP;2307389542182497;in;FALSE
MRP;2307389542182497;ou;FALSE
MRP;2307389542182497;sw;FALSE
MRP;2307389542181046;bk;FALSE
MRP;2307389542181046;cu;FALSE
MRP;2307389542181046;e1;FALSE
MRP;2307389542181046;e2;FALSE
MRP;2307389542181046;fr;FALSE
MRP;2307389542181046;in;FALSE
MRP;2307389542181046;ou;FALSE
MRP;2307389542181046;sw;FALSE
MRP;2307389542181041;bk;FALSE
MRP;2307389542181041;cu;FALSE
MRP;2307389542181041;e1;FALSE
MRP;2307389542181041;fr;FALSE
MRP;2307389542181041;in;FALSE
MRP;2307389542181041;ou;FALSE
MRP;2307389542181041;sw;FALSE
MRP;2307389542181261;bk;FALSE
MRP;2307389542181261;cu;FALSE
MRP;2307389542181261;e1;FALSE
MRP;2307389542181261;e2;FALSE
MRP;2307389542181261;fr;FALSE
MRP;2307389542181261;in;FALSE
MRP;2307389542181261;ou;FALSE
MRP;2307389542181261;sw;FALSE
MRP;2307389542180604;bk;FALSE
MRP;2307389542180604;cu;FALSE
MRP;2307389542180604;e1;FALSE
MRP;2307389542180604;fr;FALSE
MRP;2307389542180604;in;FALSE
MRP;2307389542180604;ou;FALSE
MRP;2307389542180604;sw;FALSE
MRP;2307389542179612;bk;FALSE
MRP;2307389542179612;cu;FALSE
MRP;2307389542179612;e1;FALSE
MRP;2307389542179612;fr;FALSE
MRP;2307389542179612;in;FALSE
MRP;2307389542179612;ou;FALSE
MRP;2307389542179612;sw;FALSE
MRP;2307389542180681;bk;FALSE
MRP;2307389542180681;cu;FALSE
MRP;2307389542180681;e1;FALSE
MRP;2307389542180681;fr;FALSE
MRP;2307389542180681;in;FALSE
MRP;2307389542180681;ou;FALSE
MRP;2307389542180681;sw;FALSE
MRP;2307389542180968;bk;FALSE
MRP;2307389542180968;cu;FALSE
MRP;2307389542180968;e1;FALSE
MRP;2307389542180968;fr;FALSE
MRP;2307389542180968;in;FALSE
MRP;2307389542180968;ou;FALSE
MRP;2307389542180968;sw;FALSE
MRP;2307389542182144;bk;FALSE
MRP;2307389542182144;cu;FALSE
MRP;2307389542182144;e1;FALSE
MRP;2307389542182144;fr;FALSE
MRP;2307389542182144;in;FALSE
MRP;2307389542182144;ou;FALSE
MRP;2307389542182144;sw;FALSE
MRP;2307389542181922;cu;FALSE
MRP;2307389542181922;in;FALSE
MRP;2307389542181922;ou;FALSE
MRP;2307389542181922;sw;FALSE
MRP;2307389542181480;cu;FALSE
MRP;2307389542181480;in;FALSE
MRP;2307389542181480;ou;FALSE
MRP;2307389542181480;sw;FALSE
MRP;2307389542179758;cu;FALSE
MRP;2307389542179758;in;FALSE
MRP;2307389542179758;ou;FALSE
MRP;2307389542179758;sw;FALSE
MRP;2307389542179823;cu;FALSE
MRP;2307389542179823;in;FALSE
