Channel;VariantID;PhotoType;Sensitive
NAP;8378037991493089;bk;false
NAP;8378037991493089;cu;false
NAP;8378037991493089;fr;false
NAP;8378037991493089;in;false
NAP;8378037991493089;ou;false
NAP;8378037991493089;sw;false
NAP;8378037991493116;bk;false
NAP;8378037991493116;cu;false
NAP;8378037991493116;fr;false
NAP;8378037991493116;in;false
NAP;8378037991493116;ou;false
NAP;8378037991493116;ou2;false
NAP;8378037991493116;sw;false
NAP;8378037991276330;bk;false
NAP;8378037991276330;cu;false
NAP;8378037991276330;fr;false
NAP;8378037991276330;in;false
NAP;8378037991276330;ou;false
NAP;8378037991276330;sw;false
NAP;8378037991276038;bk;false
NAP;8378037991276038;cu;false
NAP;8378037991276038;fr;false
NAP;8378037991276038;in;false
NAP;8378037991276038;ou;false
NAP;8378037991276038;sw;false
NAP;8378037991276001;bk;false
NAP;8378037991276001;cu;false
NAP;8378037991276001;fr;false
NAP;8378037991276001;in;false
NAP;8378037991276001;ou;false
NAP;8378037991276001;sw;false
NAP;8378037991492698;bk;false
NAP;8378037991492698;cu;false
NAP;8378037991492698;fr;false
NAP;8378037991492698;in;false
NAP;8378037991492698;ou;false
NAP;8378037991492698;sw;false
NAP;8378037991492269;bk;false
NAP;8378037991492269;cu;false
NAP;8378037991492269;fr;false
NAP;8378037991492269;in;false
NAP;8378037991492269;ou;false
NAP;8378037991492269;sw;false
NAP;8378037991492382;bk;false
NAP;8378037991492382;cu;false
NAP;8378037991492382;fr;false
NAP;8378037991492382;in;false
NAP;8378037991492382;ou;false
NAP;8378037991492382;sw;false
NAP;8378037991492937;bk;false
NAP;8378037991492937;cu;false
NAP;8378037991492937;e1;false
NAP;8378037991492937;e2;false
NAP;8378037991492937;e3;false
NAP;8378037991492937;e4;false
NAP;8378037991492937;in;false
NAP;8378037991492937;ou;false
NAP;8378037991492937;sw;false
NAP;8378037991492260;cu;false
NAP;8378037991492260;in;false
NAP;8378037991492260;ou;false
NAP;8378037991492260;sw;false
NAP;8378037991350893;bk;false
NAP;8378037991350893;cu;false
NAP;8378037991350893;e1;false
NAP;8378037991350893;fr;false
NAP;8378037991350893;in;false
NAP;8378037991350893;ou;false
NAP;8378037991350893;sw;false
NAP;8378037991276066;bk;false
NAP;8378037991276066;cu;false
NAP;8378037991276066;fr;false
NAP;8378037991276066;in;false
NAP;8378037991276066;ou;false
NAP;8378037991276066;sw;false
NAP;8378037991350905;bk;false
NAP;8378037991350905;cu;false
NAP;8378037991350905;fr;false
NAP;8378037991350905;in;false
NAP;8378037991350905;ou;false
NAP;8378037991350905;sw;false
NAP;8378037991351210;bk;false
NAP;8378037991351210;cu;false
NAP;8378037991351210;fr;false
NAP;8378037991351210;in;false
NAP;8378037991351210;ou;false
NAP;8378037991351210;sw;false
NAP;8378037991276107;bk;false
NAP;8378037991276107;cu;false
NAP;8378037991276107;fr;false
NAP;8378037991276107;in;false
NAP;8378037991276107;ou;false
NAP;8378037991276107;sw;false
